Week,dry cough: (Malaysia),fever: (Malaysia),COVID-19 symptoms: (Malaysia),loss of smell: (Malaysia),coronavirus testing center: (Malaysia)
11/17/2019,2,68,0,0,0
11/24/2019,2,61,0,0,0
12/1/2019,3,56,0,0,0
12/8/2019,2,75,0,0,0
12/15/2019,2,65,0,0,0
12/22/2019,3,68,0,1,0
12/29/2019,3,64,0,1,0
1/5/2020,4,66,0,0,0
1/12/2020,1,65,0,0,0
1/19/2020,3,64,0,0,0
1/26/2020,2,64,0,0,0
2/2/2020,3,71,0,0,0
2/9/2020,5,67,2,0,0
2/16/2020,3,54,1,1,0
2/23/2020,2,54,1,0,0
3/1/2020,5,53,3,0,0
3/8/2020,7,72,3,1,0
3/15/2020,12,100,10,1,0
3/22/2020,11,78,4,2,0
3/29/2020,3,52,2,1,0
4/5/2020,2,57,1,1,0
4/12/2020,1,45,2,0,0
4/19/2020,2,49,1,0,0
4/26/2020,2,45,1,1,0
5/3/2020,3,49,2,1,0
5/10/2020,2,52,2,1,0
5/17/2020,2,44,1,0,0
5/24/2020,2,42,4,1,0
5/31/2020,1,39,2,1,0
6/7/2020,2,52,1,0,0
6/14/2020,2,45,2,0,0
6/21/2020,1,44,2,0,0
6/28/2020,2,36,2,0,0
7/5/2020,1,44,2,0,0
7/12/2020,2,44,2,1,0
7/19/2020,2,46,3,1,0
7/26/2020,3,47,6,1,0
8/2/2020,3,50,6,0,0
8/9/2020,2,47,2,0,0
8/16/2020,2,48,2,1,0
8/23/2020,2,43,1,0,0
8/30/2020,2,38,1,0,0
9/6/2020,2,39,2,1,0
9/13/2020,1,39,2,1,0
9/20/2020,1,35,2,0,0
9/27/2020,3,40,5,1,0
10/4/2020,3,47,10,1,0
10/11/2020,3,51,10,1,0
10/18/2020,3,40,9,1,0
10/25/2020,1,38,5,1,0
11/1/2020,2,36,4,1,0
11/8/2020,2,44,5,0,0
