Week,dry cough: (Nigeria),fever: (Nigeria),COVID-19 symptoms: (Nigeria),loss of smell: (Nigeria),coronavirus testing center: (Nigeria)
11/17/2019,1,20,0,0,0
11/24/2019,1,19,0,0,0
12/1/2019,1,21,0,<1,0
12/8/2019,1,16,0,1,0
12/15/2019,1,16,0,0,0
12/22/2019,1,21,0,0,0
12/29/2019,1,18,0,1,0
1/5/2020,1,16,0,0,0
1/12/2020,2,21,0,<1,0
1/19/2020,1,54,0,0,0
1/26/2020,1,100,0,0,0
2/2/2020,1,65,0,0,0
2/9/2020,1,49,0,0,<1
2/16/2020,1,44,0,<1,0
2/23/2020,1,37,<1,<1,0
3/1/2020,1,42,<1,0,0
3/8/2020,1,36,1,1,0
3/15/2020,3,48,7,0,0
3/22/2020,14,60,12,<1,<1
3/29/2020,6,40,4,<1,<1
4/5/2020,5,32,2,1,0
4/12/2020,3,29,2,1,0
4/19/2020,3,29,3,1,0
4/26/2020,4,33,3,4,0
5/3/2020,2,27,2,4,<1
5/10/2020,2,26,2,5,0
5/17/2020,2,29,3,5,<1
5/24/2020,2,24,2,11,0
5/31/2020,2,26,2,9,0
6/7/2020,1,25,3,9,0
6/14/2020,2,19,6,11,0
6/21/2020,1,19,5,5,<1
6/28/2020,2,19,3,5,0
7/5/2020,2,19,1,4,0
7/12/2020,1,18,3,4,0
7/19/2020,2,19,3,3,0
7/26/2020,1,17,1,1,0
8/2/2020,1,16,3,2,0
8/9/2020,1,18,2,2,0
8/16/2020,1,16,1,1,0
8/23/2020,1,15,1,1,0
8/30/2020,<1,17,<1,1,0
9/6/2020,1,14,1,1,0
9/13/2020,1,17,1,1,0
9/20/2020,1,17,1,1,0
9/27/2020,<1,16,1,1,0
10/4/2020,2,16,<1,1,0
10/11/2020,1,20,<1,1,0
10/18/2020,1,17,1,1,0
10/25/2020,2,18,<1,1,0
11/1/2020,1,20,<1,1,0
11/8/2020,2,22,1,1,0
